round,total_keys,writes_per_sec
0,1000000,2077140
1,2000000,2102340
2,3000000,1829184
3,4000000,2334318
4,5000000,1437071
5,6000000,2309131
6,7000000,1779684
7,8000000,989085
8,9000000,2028779
9,10000000,1804431
10,11000000,1447862
11,12000000,1890325
12,13000000,1007844
13,14000000,1535655
14,15000000,1745477
15,16000000,1328603
16,17000000,1879502
17,18000000,1938231
18,19000000,523890
19,20000000,1642427
20,21000000,1738414
21,22000000,1293020
22,23000000,1887108
23,24000000,307872
24,25000000,1739017
25,26000000,1574875
26,27000000,1786347
27,28000000,1340509
28,29000000,2049413
29,30000000,302055
30,31000000,1679303
31,32000000,1531449
32,33000000,1794642
33,34000000,1397120
34,35000000,1981540
35,36000000,241544
36,37000000,1685942
37,38000000,1526697
38,39000000,1356849
39,40000000,1879545
40,41000000,1605365
41,42000000,145716
42,43000000,1209888
43,44000000,1030805
44,45000000,875794
45,46000000,1214931
46,47000000,1235302
47,48000000,134080
48,49000000,1259606
49,50000000,1770780
50,51000000,1405913
51,52000000,2205016
52,53000000,163620
53,54000000,1385018
54,55000000,1286889
55,56000000,1353151
56,57000000,1038474
57,58000000,1512056
58,59000000,139100
59,60000000,1675352
60,61000000,1353430
61,62000000,1121399
62,63000000,748209
63,64000000,1153693
64,65000000,132022
65,66000000,1662062
66,67000000,1244590
67,68000000,1333077
68,69000000,1932235
69,70000000,1927057
70,71000000,97469
71,72000000,1769728
72,73000000,1353228
73,74000000,1384850
74,75000000,1945352
75,76000000,2122543
76,77000000,95839
77,78000000,1475358
78,79000000,1788528
79,80000000,1352557
80,81000000,1385367
81,82000000,1357425
82,83000000,87761
83,84000000,1469519
84,85000000,1665856
85,86000000,1300179
86,87000000,1870213
87,88000000,82574
88,89000000,1369958
89,90000000,1364600
90,91000000,1378716
91,92000000,967847
92,93000000,880709
93,94000000,79757
94,95000000,766214
95,96000000,722638
96,97000000,598494
97,98000000,1100262
98,99000000,1274535
99,100000000,55355
100,101000000,1205992
101,102000000,894347
102,103000000,834464
103,104000000,1406247
104,105000000,1494331
105,106000000,74719
106,107000000,1099321
107,108000000,1110999
108,109000000,845732
109,110000000,1234922
110,111000000,1348262
111,112000000,55513
112,113000000,1223510
113,114000000,1193754
114,115000000,964118
115,116000000,1438187
116,117000000,50133
117,118000000,1251081
118,119000000,939832
119,120000000,1068697
120,121000000,926003
121,122000000,1277748
122,123000000,40409
123,124000000,1577185
124,125000000,1160944
125,126000000,964968
126,127000000,1330285
127,128000000,1171831
128,129000000,32550
129,130000000,1732485
130,131000000,1420317
131,132000000,1242117
132,133000000,1248414
133,134000000,1171402
134,135000000,38195
135,136000000,902413
136,137000000,997008
137,138000000,727482
138,139000000,1167984
139,140000000,1437890
140,141000000,37840
141,142000000,1233064
142,143000000,1356575
143,144000000,963578
144,145000000,1098399
145,146000000,33690
146,147000000,1095136
147,148000000,970906
148,149000000,1183454
149,150000000,903253
150,151000000,1296730
151,152000000,29918
152,153000000,1039080
153,154000000,867859
154,155000000,1064598
155,156000000,999693
156,157000000,1430212
157,158000000,36345
158,159000000,1405478
159,160000000,1136919
160,161000000,913191
161,162000000,1348209
162,163000000,1351742
163,164000000,33487
164,165000000,1162279
165,166000000,967651
166,167000000,823514
167,168000000,1144081
168,169000000,1177958
169,170000000,33377
170,171000000,1136986
171,172000000,1207212
172,173000000,878727
173,174000000,1262339
174,175000000,30608
175,176000000,1271279
176,177000000,1116959
177,178000000,1142332
178,179000000,965065
179,180000000,1355558
180,181000000,24791
181,182000000,1065237
182,183000000,1074462
183,184000000,1170506
184,185000000,945520
185,186000000,1377555
186,187000000,34158
187,188000000,1181772
188,189000000,1027620
189,190000000,804248
190,191000000,987468
191,192000000,1099273
192,193000000,32226
193,194000000,1088849
194,195000000,905051
195,196000000,780831
196,197000000,1108818
197,198000000,1140589
198,199000000,28352
199,200000000,1036992
